[2025-04-05 00:28:14,651: INFO: main: welcome to our custom log]
[2025-04-05 00:32:16,762: INFO: main: welcome to our custom log]
[2025-04-05 13:55:04,408: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-05 13:55:04,433: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-05 13:55:04,441: INFO: common: created directory at: artifacts]
[2025-04-05 13:55:04,441: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-05 13:56:10,680: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-05 13:56:10,680: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-05 13:56:10,685: INFO: common: created directory at: artifacts]
[2025-04-05 13:56:10,688: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-05 13:58:56,855: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-05 13:58:56,858: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-05 13:58:56,858: INFO: common: created directory at: artifacts]
[2025-04-05 13:58:56,862: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-05 13:59:58,624: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-05 13:59:58,630: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-05 13:59:58,630: INFO: common: created directory at: artifacts]
[2025-04-05 13:59:58,630: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-05 13:59:58,630: INFO: 986331348: Downloading data from https://drive.google.com/file/d/11RqO9t7uiEhHvep5feXLQ8GWmvYwWE3Q/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-05 14:03:06,470: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/11RqO9t7uiEhHvep5feXLQ8GWmvYwWE3Q/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-05 14:13:35,817: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-05 14:13:35,820: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-05 14:13:35,820: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-05 14:13:35,820: INFO: common: created directory at: artifacts]
[2025-04-05 14:13:35,820: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-05 14:13:35,820: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/11RqO9t7uiEhHvep5feXLQ8GWmvYwWE3Q/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-05 14:18:59,703: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/11RqO9t7uiEhHvep5feXLQ8GWmvYwWE3Q/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-05 14:19:36,416: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
